variable,bartlett_pvalue,mean_diff,mean_production,mean_test,stddev_diff,stddev_production,stddev_test,studentt_pvalue
n25,0.331387385,8.39E-05,0.019028229,0.019112093,0.000291114,0.141227281,0.141518395,0.843163264
e26170,9.22E-63,453.1708821,6429.98078,6883.151663,5845.60959,162030.7383,167876.3479,0.359338863
e87550,0.019690898,0.141188365,15.15471856,15.01353019,0.738174572,149.6439965,148.9058219,0.752443386
e00700,8.02E-53,133.5434572,2175.695409,2309.238866,815.7155831,24752.37153,25568.08711,0.076580686
jcps32,0,2081.228271,593.2542318,2674.482503,7380.4596,4373.561772,11754.02137,
sche,2.08E-08,0.011490801,0.282243365,0.293734166,0.005380475,0.450091155,0.45547163,2.56E-17
jcps94,0,276.3922312,2322.979088,2599.371319,296.2895019,3516.597076,3812.886577,1.20E-139
jcps100,9.69E-76,109.9385285,2553.052874,2662.991402,247.7973677,6225.037535,6472.834903,7.58E-09
e26180,2.84E-42,879.3432108,14416.64916,15295.99237,7774.626983,265329.4041,273104.0311,0.275825436
e62100,3.90E-47,11640.48254,189066.0753,200706.5578,40144.10792,1293462.861,1333606.969,0.003109838
e11550,3.38E-29,10.00866373,213.1025845,223.1112482,187.6116553,7797.223428,7984.835083,0.672188843
jcps3,0.19571191,0.000541309,1.910714363,1.911255672,0.00078124,0.285155592,0.284374352,0.526117312
jcps40,0,891.1746078,1275.745755,2166.920363,1276.291047,4565.060234,5841.351281,
jcps5,0,0.054384395,1.513609926,1.567994321,0.067946896,0.563854439,0.495907542,2.22E-254
xfst,0.976582242,0.00486645,0.505622768,0.500756317,3.10E-05,0.499968383,0.499999428,0.001169847
xtot,9.98E-94,0.05859775,2.110993653,2.169591403,0.055518455,1.247867917,1.303386372,5.17E-53
soiseq,2.66E-10,1632.758076,69385.86175,71018.61982,568.6821878,42734.36709,42165.6849,1.21E-37
e25860,1.48E-51,206.8628701,3637.618426,3844.481296,1766.785932,54301.32251,56068.10844,0.211053803
jcps49,0,25.40483559,66.19088263,91.59571822,305.3403389,1440.54358,1745.883919,1.10E-07
jcps23,0,1524.882272,824.4935898,2349.375862,5954.237529,5733.597579,11687.83511,0
jcps91,7.27E-26,0.013398172,0.890289687,0.903687859,0.015540486,0.704597485,0.689056999,1.46E-10
e01200,8.75E-47,149.5594202,-2832.094706,-2981.654126,4256.566975,137690.618,141947.185,0.721181403
jcps48,1.78E-88,0.001179704,0.007499924,0.008679628,0.009339588,0.216345151,0.22568474,
p25700,3.52E-51,225.8988655,3263.615755,3489.514621,4372.366624,134899.9491,139272.3157,0.582460285
e05800,4.76E-46,4830.908691,81008.30864,85839.21733,12239.67524,399252.9063,411492.5816,7.01E-05
e21040,1.06E-46,154.6341153,2456.829716,2611.463831,425.5036895,13776.84508,14202.34877,0.000226171
prep,2.65E-06,0.023508341,0.705419174,0.728927514,0.007276506,0.727308186,0.734584692,7.59E-27
e87530,6.03E-79,0.692492953,100.7464773,101.4389703,49.89148384,1226.485518,1276.377002,0.853515647
matchwt,0,1763.312441,715.7771931,2479.089634,905.0475428,706.7257512,1611.773294,
e53300,1.47E-53,0.732335406,11.55971445,12.29204985,32.59682778,981.9526374,1014.549465,0.806636838
e25980,1.34E-47,2353.910474,38062.42656,40416.33704,14198.68829,455127.4222,469326.1105,0.089307005
e87875,3.30E-18,0.836992263,18.02222135,18.85921362,1.447380586,77.75569213,79.20307272,0.000373929
e09400,2.07E-42,99.22251241,1825.65657,1924.879082,301.1559221,10260.07436,10561.23029,0.001473804
e11582,0.000248457,0.065661525,1.391905825,1.457567349,0.576709816,73.96076983,74.53747965,0.768014295
p65400,1.33E-73,753.7805548,10923.79511,11677.57566,6980.560553,178006.2202,184986.7807,0.165830866
e62740,3.56E-45,3392.42062,55726.48395,59118.90456,23889.19097,787170.2028,811059.3938,0.156671008
jcps56,0,0.000277205,9.14E-05,0.000368562,0.035420096,0.025288067,0.060708163,
p25380,1.48E-51,381.0886946,6298.630289,6679.718984,3058.823833,94009.15089,97067.97472,0.183240145
tform,0.099680284,0.007330326,0.371250582,0.378580907,0.002231559,0.638225144,0.640456703,0.00013128
jcps33,0,2583.235093,509.9842563,3093.219349,8884.297181,4320.352591,13204.64977,
e30500,2.41E-29,39.66891969,1046.562346,1086.231266,208.5317593,8643.367859,8851.899619,0.130307736
jcps75,0,0.008558904,0.012006839,0.020565742,0.048039945,0.153083254,0.2011232,
jcps38,0,79.7114396,99.12327891,178.8347185,1691.3997,4636.264958,6327.664659,
e18600,2.62E-16,0.142567044,22.18272146,22.04015442,4.269980896,243.83069,248.1006709,0.846678746
jcps92,1.60E-22,0.03565164,0.564739047,0.600390687,0.013098588,0.626318518,0.639417106,9.21E-79
e11200,1.29E-41,4.307135988,81.91563891,86.2227749,21.43964254,737.7901701,759.2298126,0.054882042
jcps59,0,0.466380649,1.846660489,2.313041138,24.70288205,201.9058829,226.6087649,0.467771987
prodseq,7.61E-182,1670.392981,106524.7352,104854.3422,3912.901955,66093.83141,62180.92945,4.21E-18
f8910,4.83E-07,2.12E-05,0.00100492,0.000983677,0.000336356,0.031684544,0.031348188,0.822163876
dsi,4.27E-05,0.000700606,0.039091831,0.038391225,0.001674613,0.193813465,0.192138853,0.226031453
s008,0.032688724,316.323473,13643.57315,13959.89662,52.91642143,11710.79777,11657.88134,1.75E-19
e05100,4.15E-46,4674.072298,78488.99083,83163.06313,12028.0777,392079.5874,404107.6651,8.96E-05
jcps46,0,0.072678675,0.1088011,0.181479775,0.184195733,0.64399978,0.828195513,
wt,0,60.67916863,1117.094435,1056.415266,91.10248849,707.5057815,616.403293,
jcps68,2.04E-51,0.001803851,0.026880528,0.028684379,0.007436708,0.228889268,0.236325976,0.009671684
e07150,6.69E-49,221.6730247,3756.699111,3978.372136,2118.465646,66947.6423,69066.10795,0.276807267
e11580,5.66E-14,1.556836062,55.64865206,54.091816,10.11823827,639.9270426,629.8088044,0.41358006
jcps72,0,0.008506998,0.012298309,0.020805307,0.046987236,0.155890377,0.202877613,
agir1,1.65E-82,0.484465966,20.355037,20.83950296,0.386259206,9.6569113,9.270652094,3.18E-65
jcps86,0.706397867,0.000174484,1.902487939,1.902662423,0.000236879,0.29665377,0.296416891,0.844423169
e06500,4.19E-46,4609.134115,77246.94936,81856.08347,11851.24545,386336.0763,398187.3218,8.85E-05
